school,school_id,conference,song_name,bpm,sec_duration,fight,victory,win_won,opponents,rah,nonsense,colors,men,official_song,primary_bucket,secondary_bucket,score_aggression,score_unity,score_tradition,score_pageantry,score_institutional,score_competitive_glory,lex_aggression_freq,lex_unity_freq,lex_tradition_freq,lex_pageantry_freq,lex_institutional_freq,lex_competitive_glory_freq
Oregon State,oregon_state,Pac-12,Hail to Old OSU,137,63,1,0,0,0,0,0,0,0,1,Aggression/Conflict,Tradition/Legacy,2.2171749328283417,0.5436893203883495,2.1124393779716963,0.6708273249034501,0.5,-1.5,0.019417475728155338,0.06796116504854369,0.02912621359223301,0.07766990291262135,0.0,0.009708737864077669
Stanford,stanford,Pac-12,Come Join the Band,135,63,0,0,1,0,0,0,1,1,1,Institutional Pride,Tradition/Legacy,1.2418753399291724,1.8902439024390243,2.2817389623076076,0.1349636865774843,2.475609756097561,1.0,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.012195121951219513,0.12195121951219512,0.012195121951219513
Utah,utah,Pac-12,Utah Man,168,66,1,0,0,0,0,1,1,1,1,Aggression/Conflict,Unity/Brotherhood,2.3686614312819945,1.9018264840182648,1.789421821735317,1.3095410171717141,1.7922374429223744,-1.5365296803652968,0.0091324200913242,0.0502283105022831,0.0091324200913242,0.0091324200913242,0.0365296803652968,0.0
Washington State,washington_state,Pac-12,The Fight Song,81,64,1,1,1,0,0,0,1,0,1,Aggression/Conflict,,4.870315685556043,0.6230769230769231,2.348319645620296,-0.28836283617055025,1.9923076923076923,0.6230769230769231,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.06153846153846154,0.09230769230769231
Alabama,alabama,SEC,Yea Alabama,153,59,1,1,1,1,0,0,1,1,1,Aggression/Conflict,,6.077550761745671,1.0,1.7509780820097811,0.14599122668048767,1.6450617283950617,0.5,0.04938271604938271,0.0,0.0,0.0,0.04938271604938271,0.024691358024691357
Arkansas,arkansas,SEC,Arkansas Fight,77,88,1,0,0,0,1,0,0,0,1,Tradition/Legacy,Aggression/Conflict,2.1517558595558666,0.0,2.4409442766891334,1.865472484254863,0.771186440677966,-1.771186440677966,0.06779661016949153,0.0,0.0,0.0847457627118644,0.03389830508474576,0.0
Auburn,auburn,SEC,War Eagle,77,27,1,1,1,0,0,0,1,0,1,Aggression/Conflict,,4.378613747430704,0.8076923076923077,1.954035228961977,-0.00480130974774462,1.9615384615384617,0.2692307692307691,0.09615384615384616,0.038461538461538464,0.0,0.038461538461538464,0.057692307692307696,0.019230769230769232
Florida,florida,SEC,The Orange and Blue,71,66,1,0,0,0,0,0,1,0,1,Tradition/Legacy,,1.7308044299862846,0.8333333333333333,2.8015339067901497,-0.015356456010972186,2.0,-1.5833333333333333,0.020833333333333332,0.041666666666666664,0.0625,0.041666666666666664,0.0625,0.0
Georgia,georgia,SEC,"Glory, Glory",162,41,0,0,0,0,0,0,0,0,0,Competitive Glory,,0.25035685567108423,0.0,0.6439148354052986,0.2002854845368674,1.0909090909090908,2.1818181818181817,0.0,0.0,0.13636363636363635,0.0,0.13636363636363635,0.2727272727272727
Kentucky,kentucky,SEC,On! On! U of K,79,52,1,1,1,0,0,0,1,0,1,Aggression/Conflict,,4.466569979651268,0.7807017543859649,2.141522726739995,-0.3004282268053013,1.780701754385965,0.35964912280701755,0.10526315789473684,0.03508771929824561,0.0,0.0,0.03508771929824561,0.03508771929824561
LSU,lsu,SEC,Fight for LSU,168,83,1,0,1,0,1,0,1,0,1,Aggression/Conflict,,4.1377073337092956,0.6403508771929824,2.2731110567043538,1.876832533634103,2.06140350877193,-0.6403508771929824,0.10526315789473684,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.07017543859649122,0.03508771929824561
Mississippi,mississippi,SEC,Forward Rebels,153,65,1,1,1,0,0,0,1,0,1,Aggression/Conflict,,5.325346176207752,0.6428571428571428,1.7988707752288458,0.14599122668048767,1.7857142857142856,0.2142857142857142,0.14285714285714285,0.017857142857142856,0.0,0.0,0.03571428571428571,0.03571428571428571
Mississippi State,mississippi_state,SEC,Hail State,146,54,1,1,1,0,0,0,0,0,1,Aggression/Conflict,,4.600291184617691,0.0,1.753296371548856,1.0449388300470943,0.5,0.5784313725490193,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0392156862745098
Missouri,missouri,SEC,Fight Tiger,138,86,1,1,1,0,0,0,0,0,1,Aggression/Conflict,,5.069375996149819,0.0,2.3426999169704903,0.05550079691985478,0.5,0.4285714285714284,0.125,0.0,0.03571428571428571,0.0,0.0,0.05357142857142857
South Carolina,south_carolina,SEC,The Fighting Gamecocks Lead the Way (Step to the Rear),153,64,1,0,1,0,0,0,1,0,1,Aggression/Conflict,,3.4941773450389215,0.7077922077922079,1.790888659692335,0.5615756422649033,2.0194805194805197,-0.551948051948052,0.03896103896103896,0.025974025974025976,0.0,0.05194805194805195,0.06493506493506493,0.012987012987012988
Tennessee,tennessee,SEC,Rocky Top,149,53,0,0,0,0,0,0,0,0,0,Institutional Pride,Aggression/Conflict,0.2642136686518438,0.0,-0.21683977399572535,0.12186044541098556,0.27972027972027974,-0.055944055944055944,0.013986013986013986,0.0,0.006993006993006993,0.0,0.03496503496503497,0.0
Texas A&M,texas_aandm,SEC,Aggie War Hymn,117,172,1,0,0,1,0,1,0,1,0,Aggression/Conflict,,3.606139695288223,0.5,1.0652561202805282,0.9288141952549687,0.6280487804878049,-1.5975609756097562,0.024390243902439025,0.0,0.024390243902439025,0.0,0.10975609756097561,0.0
Vanderbilt,vanderbilt,SEC,Dynamite,72,45,1,1,1,0,0,0,0,0,1,Aggression/Conflict,,4.428821489609194,0.0,2.1278767852060483,-0.34265709402693,0.5,0.35714285714285704,0.10714285714285714,0.0,0.0,0.0,0.0,0.03571428571428571
